Incidence Angle,Principal Emission Angle,Adjusted Emission Angle,Azimuth Angle,Phase Angle,Adjusted Phase Angle
0,-50,51.74,160.91,50,51.74
0,-48,49.85,160.36,48,49.85
0,-46,47.97,159.77,46,47.97
0,-44,46.1,159.11,44,46.1
0,-42,44.23,158.38,42,44.23
0,-40,42.38,157.58,40,42.38
0,-38,40.54,156.7,38,40.54
0,-36,38.71,155.72,36,38.71
0,-34,36.89,154.63,34,36.89
0,-32,35.09,153.42,32,35.09
0,-30,33.32,152.06,30,33.32
0,-28,31.56,150.54,28,31.56
0,-26,29.83,148.83,26,29.83
0,-24,28.14,146.9,24,28.14
0,-22,26.49,144.71,22,26.49
0,-20,24.88,142.21,20,24.88
0,-18,23.33,139.37,18,23.33
0,-16,21.85,136.11,16,21.85
0,-14,20.45,132.38,14,20.45
0,-12,19.16,128.1,12,19.16
0,-10,17.99,123.22,10,17.99
0,-8,16.98,117.69,8,16.98
0,-6,16.14,111.52,6,16.14
0,-4,15.52,104.74,4,15.52
0,-2,15.13,97.5,2,15.13
0,0,15,90,0,15
0,2,15.13,82.5,2,15.13
0,4,15.52,75.26,4,15.52
0,6,16.14,68.48,6,16.14
0,8,16.98,62.31,8,16.98
0,10,17.99,56.78,10,17.99
0,12,19.16,51.9,12,19.16
0,14,20.45,47.62,14,20.45
0,16,21.85,43.89,16,21.85
0,18,23.33,40.63,18,23.33
0,20,24.88,37.79,20,24.88
0,22,26.49,35.29,22,26.49
0,24,28.14,33.1,24,28.14
0,26,29.83,31.17,26,29.83
0,28,31.56,29.46,28,31.56
0,30,33.32,27.94,30,33.32
0,32,35.09,26.58,32,35.09
0,34,36.89,25.37,34,36.89
0,36,38.71,24.28,36,38.71
0,38,40.54,23.3,38,40.54
0,40,42.38,22.42,40,42.38
0,42,44.23,21.62,42,44.23
0,44,46.1,20.89,44,46.1
0,46,47.97,20.23,46,47.97
0,48,49.85,19.64,48,49.85
0,50,51.74,19.09,50,51.74
5,-50,51.74,160.91,55,56.48
5,-48,49.85,160.36,53,54.58
5,-46,47.97,159.77,51,52.68
5,-44,46.1,159.11,49,50.79
5,-42,44.23,158.38,47,48.91
5,-40,42.38,157.58,45,47.03
5,-38,40.54,156.7,43,45.16
5,-36,38.71,155.72,41,43.31
5,-34,36.89,154.63,39,41.46
5,-32,35.09,153.42,37,39.62
5,-30,33.32,152.06,35,37.8
5,-28,31.56,150.54,33,35.99
5,-26,29.83,148.83,31,34.2
5,-24,28.14,146.9,29,32.43
5,-22,26.49,144.71,27,30.69
5,-20,24.88,142.21,25,28.98
5,-18,23.33,139.37,23,27.31
5,-16,21.85,136.11,21,25.68
5,-14,20.45,132.38,19,24.09
5,-12,19.16,128.1,17,22.58
5,-10,17.99,123.22,15,21.14
5,-8,16.98,117.69,13,19.79
5,-6,16.14,111.52,11,18.56
5,-4,15.52,104.74,9,17.46
5,-2,15.13,97.5,7,16.53
5,0,15,90,5,15.8
5,2,15.13,82.5,3,15.29
5,4,15.52,75.26,1,15.03
5,6,16.14,68.48,1,15.03
5,8,16.98,62.31,3,15.29
5,10,17.99,56.78,5,15.8
5,12,19.16,51.9,7,16.53
5,14,20.45,47.62,9,17.46
5,16,21.85,43.89,11,18.56
5,18,23.33,40.63,13,19.79
5,20,24.88,37.79,15,21.14
5,22,26.49,35.29,17,22.58
5,24,28.14,33.1,19,24.09
5,26,29.83,31.17,21,25.68
5,28,31.56,29.46,23,27.31
5,30,33.32,27.94,25,28.98
5,32,35.09,26.58,27,30.69
5,34,36.89,25.37,29,32.43
5,36,38.71,24.28,31,34.2
5,38,40.54,23.3,33,35.99
5,40,42.38,22.42,35,37.8
5,42,44.23,21.62,37,39.62
5,44,46.1,20.89,39,41.46
5,46,47.97,20.23,41,43.31
5,48,49.85,19.64,43,45.16
5,50,51.74,19.09,45,47.03
10,-50,51.74,160.91,60,61.25
10,-48,49.85,160.36,58,59.34
10,-46,47.97,159.77,56,57.43
10,-44,46.1,159.11,54,55.53
10,-42,44.23,158.38,52,53.63
10,-40,42.38,157.58,50,51.74
10,-38,40.54,156.7,48,49.85
10,-36,38.71,155.72,46,47.97
10,-34,36.89,154.63,44,46.1
10,-32,35.09,153.42,42,44.23
10,-30,33.32,152.06,40,42.38
10,-28,31.56,150.54,38,40.54
10,-26,29.83,148.83,36,38.71
10,-24,28.14,146.9,34,36.89
10,-22,26.49,144.71,32,35.09
10,-20,24.88,142.21,30,33.32
10,-18,23.33,139.37,28,31.56
10,-16,21.85,136.11,26,29.83
10,-14,20.45,132.38,24,28.14
10,-12,19.16,128.1,22,26.49
10,-10,17.99,123.22,20,24.88
10,-8,16.98,117.69,18,23.33
10,-6,16.14,111.52,16,21.85
10,-4,15.52,104.74,14,20.45
10,-2,15.13,97.5,12,19.16
10,0,15,90,10,17.99
10,2,15.13,82.5,8,16.98
10,4,15.52,75.26,6,16.14
10,6,16.14,68.48,4,15.52
10,8,16.98,62.31,2,15.13
10,10,17.99,56.78,0,15
10,12,19.16,51.9,2,15.13
10,14,20.45,47.62,4,15.52
10,16,21.85,43.89,6,16.14
10,18,23.33,40.63,8,16.98
10,20,24.88,37.79,10,17.99
10,22,26.49,35.29,12,19.16
10,24,28.14,33.1,14,20.45
10,26,29.83,31.17,16,21.85
10,28,31.56,29.46,18,23.33
10,30,33.32,27.94,20,24.88
10,32,35.09,26.58,22,26.49
10,34,36.89,25.37,24,28.14
10,36,38.71,24.28,26,29.83
10,38,40.54,23.3,28,31.56
10,40,42.38,22.42,30,33.32
10,42,44.23,21.62,32,35.09
10,44,46.1,20.89,34,36.89
10,46,47.97,20.23,36,38.71
10,48,49.85,19.64,38,40.54
10,50,51.74,19.09,40,42.38
15,-50,51.74,160.91,65,66.04
15,-48,49.85,160.36,63,64.12
15,-46,47.97,159.77,61,62.21
15,-44,46.1,159.11,59,60.29
15,-42,44.23,158.38,57,58.38
15,-40,42.38,157.58,55,56.48
15,-38,40.54,156.7,53,54.58
15,-36,38.71,155.72,51,52.68
15,-34,36.89,154.63,49,50.79
15,-32,35.09,153.42,47,48.91
15,-30,33.32,152.06,45,47.03
15,-28,31.56,150.54,43,45.16
15,-26,29.83,148.83,41,43.31
15,-24,28.14,146.9,39,41.46
15,-22,26.49,144.71,37,39.62
15,-20,24.88,142.21,35,37.8
15,-18,23.33,139.37,33,35.99
15,-16,21.85,136.11,31,34.2
15,-14,20.45,132.38,29,32.43
15,-12,19.16,128.1,27,30.69
15,-10,17.99,123.22,25,28.98
15,-8,16.98,117.69,23,27.31
15,-6,16.14,111.52,21,25.68
15,-4,15.52,104.74,19,24.09
15,-2,15.13,97.5,17,22.58
15,0,15,90,15,21.14
15,2,15.13,82.5,13,19.79
15,4,15.52,75.26,11,18.56
15,6,16.14,68.48,9,17.46
15,8,16.98,62.31,7,16.53
15,10,17.99,56.78,5,15.8
15,12,19.16,51.9,3,15.29
15,14,20.45,47.62,1,15.03
15,16,21.85,43.89,1,15.03
15,18,23.33,40.63,3,15.29
15,20,24.88,37.79,5,15.8
15,22,26.49,35.29,7,16.53
15,24,28.14,33.1,9,17.46
15,26,29.83,31.17,11,18.56
15,28,31.56,29.46,13,19.79
15,30,33.32,27.94,15,21.14
15,32,35.09,26.58,17,22.58
15,34,36.89,25.37,19,24.09
15,36,38.71,24.28,21,25.68
15,38,40.54,23.3,23,27.31
15,40,42.38,22.42,25,28.98
15,42,44.23,21.62,27,30.69
15,44,46.1,20.89,29,32.43
15,46,47.97,20.23,31,34.2
15,48,49.85,19.64,33,35.99
15,50,51.74,19.09,35,37.8
20,-50,51.74,160.91,70,70.85
20,-48,49.85,160.36,68,68.92
20,-46,47.97,159.77,66,67
20,-44,46.1,159.11,64,65.08
20,-42,44.23,158.38,62,63.16
20,-40,42.38,157.58,60,61.25
20,-38,40.54,156.7,58,59.34
20,-36,38.71,155.72,56,57.43
20,-34,36.89,154.63,54,55.53
20,-32,35.09,153.42,52,53.63
20,-30,33.32,152.06,50,51.74
20,-28,31.56,150.54,48,49.85
20,-26,29.83,148.83,46,47.97
20,-24,28.14,146.9,44,46.1
20,-22,26.49,144.71,42,44.23
20,-20,24.88,142.21,40,42.38
20,-18,23.33,139.37,38,40.54
20,-16,21.85,136.11,36,38.71
20,-14,20.45,132.38,34,36.89
20,-12,19.16,128.1,32,35.09
20,-10,17.99,123.22,30,33.32
20,-8,16.98,117.69,28,31.56
20,-6,16.14,111.52,26,29.83
20,-4,15.52,104.74,24,28.14
20,-2,15.13,97.5,22,26.49
20,0,15,90,20,24.88
20,2,15.13,82.5,18,23.33
20,4,15.52,75.26,16,21.85
20,6,16.14,68.48,14,20.45
20,8,16.98,62.31,12,19.16
20,10,17.99,56.78,10,17.99
20,12,19.16,51.9,8,16.98
20,14,20.45,47.62,6,16.14
20,16,21.85,43.89,4,15.52
20,18,23.33,40.63,2,15.13
20,20,24.88,37.79,0,15
20,22,26.49,35.29,2,15.13
20,24,28.14,33.1,4,15.52
20,26,29.83,31.17,6,16.14
20,28,31.56,29.46,8,16.98
20,30,33.32,27.94,10,17.99
20,32,35.09,26.58,12,19.16
20,34,36.89,25.37,14,20.45
20,36,38.71,24.28,16,21.85
20,38,40.54,23.3,18,23.33
20,40,42.38,22.42,20,24.88
20,42,44.23,21.62,22,26.49
20,44,46.1,20.89,24,28.14
20,46,47.97,20.23,26,29.83
20,48,49.85,19.64,28,31.56
20,50,51.74,19.09,30,33.32
25,-50,51.74,160.91,75,75.66
25,-48,49.85,160.36,73,73.73
25,-46,47.97,159.77,71,71.81
25,-44,46.1,159.11,69,69.88
25,-42,44.23,158.38,67,67.96
25,-40,42.38,157.58,65,66.04
25,-38,40.54,156.7,63,64.12
25,-36,38.71,155.72,61,62.21
25,-34,36.89,154.63,59,60.29
25,-32,35.09,153.42,57,58.38
25,-30,33.32,152.06,55,56.48
25,-28,31.56,150.54,53,54.58
25,-26,29.83,148.83,51,52.68
25,-24,28.14,146.9,49,50.79
25,-22,26.49,144.71,47,48.91
25,-20,24.88,142.21,45,47.03
25,-18,23.33,139.37,43,45.16
25,-16,21.85,136.11,41,43.31
25,-14,20.45,132.38,39,41.46
25,-12,19.16,128.1,37,39.62
25,-10,17.99,123.22,35,37.8
25,-8,16.98,117.69,33,35.99
25,-6,16.14,111.52,31,34.2
25,-4,15.52,104.74,29,32.43
25,-2,15.13,97.5,27,30.69
25,0,15,90,25,28.98
25,2,15.13,82.5,23,27.31
25,4,15.52,75.26,21,25.68
25,6,16.14,68.48,19,24.09
25,8,16.98,62.31,17,22.58
25,10,17.99,56.78,15,21.14
25,12,19.16,51.9,13,19.79
25,14,20.45,47.62,11,18.56
25,16,21.85,43.89,9,17.46
25,18,23.33,40.63,7,16.53
25,20,24.88,37.79,5,15.8
25,22,26.49,35.29,3,15.29
25,24,28.14,33.1,1,15.03
25,26,29.83,31.17,1,15.03
25,28,31.56,29.46,3,15.29
25,30,33.32,27.94,5,15.8
25,32,35.09,26.58,7,16.53
25,34,36.89,25.37,9,17.46
25,36,38.71,24.28,11,18.56
25,38,40.54,23.3,13,19.79
25,40,42.38,22.42,15,21.14
25,42,44.23,21.62,17,22.58
25,44,46.1,20.89,19,24.09
25,46,47.97,20.23,21,25.68
25,48,49.85,19.64,23,27.31
25,50,51.74,19.09,25,28.98
30,-50,51.74,160.91,80,80.49
30,-48,49.85,160.36,78,78.56
30,-46,47.97,159.77,76,76.63
30,-44,46.1,159.11,74,74.7
30,-42,44.23,158.38,72,72.77
30,-40,42.38,157.58,70,70.85
30,-38,40.54,156.7,68,68.92
30,-36,38.71,155.72,66,67
30,-34,36.89,154.63,64,65.08
30,-32,35.09,153.42,62,63.16
30,-30,33.32,152.06,60,61.25
30,-28,31.56,150.54,58,59.34
30,-26,29.83,148.83,56,57.43
30,-24,28.14,146.9,54,55.53
30,-22,26.49,144.71,52,53.63
30,-20,24.88,142.21,50,51.74
30,-18,23.33,139.37,48,49.85
30,-16,21.85,136.11,46,47.97
30,-14,20.45,132.38,44,46.1
30,-12,19.16,128.1,42,44.23
30,-10,17.99,123.22,40,42.38
30,-8,16.98,117.69,38,40.54
30,-6,16.14,111.52,36,38.71
30,-4,15.52,104.74,34,36.89
30,-2,15.13,97.5,32,35.09
30,0,15,90,30,33.32
30,2,15.13,82.5,28,31.56
30,4,15.52,75.26,26,29.83
30,6,16.14,68.48,24,28.14
30,8,16.98,62.31,22,26.49
30,10,17.99,56.78,20,24.88
30,12,19.16,51.9,18,23.33
30,14,20.45,47.62,16,21.85
30,16,21.85,43.89,14,20.45
30,18,23.33,40.63,12,19.16
30,20,24.88,37.79,10,17.99
30,22,26.49,35.29,8,16.98
30,24,28.14,33.1,6,16.14
30,26,29.83,31.17,4,15.52
30,28,31.56,29.46,2,15.13
30,30,33.32,27.94,0,15
30,32,35.09,26.58,2,15.13
30,34,36.89,25.37,4,15.52
30,36,38.71,24.28,6,16.14
30,38,40.54,23.3,8,16.98
30,40,42.38,22.42,10,17.99
30,42,44.23,21.62,12,19.16
30,44,46.1,20.89,14,20.45
30,46,47.97,20.23,16,21.85
30,48,49.85,19.64,18,23.33
30,50,51.74,19.09,20,24.88
35,-50,51.74,160.91,85,85.32
35,-48,49.85,160.36,83,83.38
35,-46,47.97,159.77,81,81.45
35,-44,46.1,159.11,79,79.52
35,-42,44.23,158.38,77,77.59
35,-40,42.38,157.58,75,75.66
35,-38,40.54,156.7,73,73.73
35,-36,38.71,155.72,71,71.81
35,-34,36.89,154.63,69,69.88
35,-32,35.09,153.42,67,67.96
35,-30,33.32,152.06,65,66.04
35,-28,31.56,150.54,63,64.12
35,-26,29.83,148.83,61,62.21
35,-24,28.14,146.9,59,60.29
35,-22,26.49,144.71,57,58.38
35,-20,24.88,142.21,55,56.48
35,-18,23.33,139.37,53,54.58
35,-16,21.85,136.11,51,52.68
35,-14,20.45,132.38,49,50.79
35,-12,19.16,128.1,47,48.91
